system:index,district,month,rainfall_mean_mm_per_day,rainfall_total_mm,year,.geo
3_0001000000000000169b,Kasur District,4,0.34554105371022126,10.366231622781033,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169c,Khanewal District,4,0.38595071767355216,11.578521540329001,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169d,Khushab District,4,1.5275437961481266,45.82631392433853,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169e,Lahore District,4,0.5019080078853246,15.057240234492754,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169f,Layyah District,4,0.9696379586323839,29.08913881606578,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a0,Lodhran District,4,0.23503526640240852,7.051057970728823,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a1,Mandi Bahauddin District,4,1.7375470010249898,52.12641004251552,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a2,Mianwali District,4,2.568675862753992,77.06027599711497,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a3,Multan District,4,0.5070205462104346,15.21061642006155,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a4,Muzaffargarh District,4,0.8213011170200555,24.63903348262384,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a5,Narowal District,4,1.1513938653698437,34.541815946865455,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a6,Okara District,4,0.2825453545502301,8.476360622866403,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a7,Pakpattan District,4,0.18915695991359252,5.674708797136819,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a8,Rahim Yar Khan District,4,0.4097223947876163,12.291671851816755,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a9,Rajanpur District,4,0.7594791695039833,22.78437510870011,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016aa,Rawalpindi District,4,3.2393992709182,97.18197796023472,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ab,Sahiwal District,4,0.30984532293284445,9.295359639785767,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ac,Sargodha District,4,1.3964080711940126,41.89224211019428,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ad,Sheikhupura District,4,0.5213879338113739,15.64163806560505,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ae,Sialkot District,4,1.2964066603074098,38.89219984799,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016af,Toba Tek Singh District,4,0.4915236111541192,14.74570832129202,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016b0,Vehari District,4,0.1945650450816557,5.836951341684554,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000168f,Attock District,5,0.4738288583230964,14.688694607604269,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001690,Bahawalnagar District,5,0.14412400138893416,4.467844037463788,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001691,Bahawalpur District,5,0.06235156780654798,1.9328986015265388,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001692,Bhakkar District,5,0.28614361827834184,8.870452153618427,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001693,Chakwal District,5,0.4760426837296971,14.757323178635884,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001694,Dera Ghazi Khan District,5,0.2036632325442277,6.31356020561175,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001695,Faisalabad District,5,0.34741972106125085,10.770011349170094,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001696,Gujranwala District,5,0.5702509185196614,17.677778416489065,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001697,Gujrat District,5,0.5072389361386762,15.724407020482623,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001698,Hafizabad District,5,0.6170477861442187,19.12848137879121,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001699,Jhang District,5,0.33548014152558003,10.39988436674173,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169a,Jhelum District,5,0.44680998818426687,13.851109603327192,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169b,Kasur District,5,0.4630280346636548,14.353869071284254,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169c,Khanewal District,5,0.07232572932415451,2.2420976070304808,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169d,Khushab District,5,0.4051839470692583,12.56070234416926,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169e,Lahore District,5,0.6988900420656651,21.665591246130678,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169f,Layyah District,5,0.16956311064729412,5.256456453892691,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a0,Lodhran District,5,0.06823095100995624,2.1151594779357206,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a1,Mandi Bahauddin District,5,0.48224700799362263,14.949657225611174,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a2,Mianwali District,5,0.3903883623627076,12.102039219756707,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a3,Multan District,5,0.07223486725244753,2.2392808837756912,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
