system:index,NDVI_mean,district,month,year,.geo
5_00010000000000001696,0.18335595180346176,Gujranwala District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001697,0.21140501477936513,Gujrat District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001698,0.16007158410061914,Hafizabad District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001699,0.24857700102713096,Jhang District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169a,0.18487585401278672,Jhelum District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169b,0.2832820529562008,Kasur District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169c,0.3195851454767592,Khanewal District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169d,0.15998239330912253,Khushab District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169e,0.2305179141024249,Lahore District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169f,0.19130559444063486,Layyah District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a0,0.30355646282276333,Lodhran District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a1,0.26326489608181725,Mandi Bahauddin District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a2,0.15685746960916852,Mianwali District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a3,0.3000886502028193,Multan District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a4,0.25117329833888763,Muzaffargarh District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a5,0.17340211326804578,Narowal District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a6,0.3095521099524692,Okara District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a7,0.34626489514897935,Pakpattan District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a8,0.21841909533366302,Rahim Yar Khan District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a9,0.14134062798509692,Rajanpur District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016aa,0.2707114721524111,Rawalpindi District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ab,0.30797505706049805,Sahiwal District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ac,0.2778572655657846,Sargodha District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ad,0.18773664985703484,Sheikhupura District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ae,0.2011901003042533,Sialkot District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
