system:index,SoilMoisture,district,month,year,.geo
6_000100000000000016a3,0.1446951097436868,Multan District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a4,0.1048207084613916,Muzaffargarh District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a5,0.29469647348952793,Narowal District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a6,0.1963464253347166,Okara District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a7,0.182362734412547,Pakpattan District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a8,0.06519365677218279,Rahim Yar Khan District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a9,0.05104725901528638,Rajanpur District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016aa,0.31797819870475846,Rawalpindi District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016ab,0.17849780509012028,Sahiwal District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016ac,0.20395028594551973,Sargodha District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
