system:index,district,month,soil_moisture_0_7cm,soil_moisture_7_28cm,year,.geo
4_00010000000000001693,Chakwal District,5,0.20727374367497933,0.23163528113849463,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001694,Dera Ghazi Khan District,5,0.049625101854345474,0.15457313556525012,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001695,Faisalabad District,5,0.14084782653349529,0.14530520419586584,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001696,Gujranwala District,5,0.15051056228265042,0.1525952473359645,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001697,Gujrat District,5,0.16785513985932687,0.17836028191538694,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001698,Hafizabad District,5,0.15330026254795123,0.14731073078127227,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001699,Jhang District,5,0.12642863228089618,0.13468029026106002,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169a,Jhelum District,5,0.19227890980715046,0.2037139111999144,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169b,Kasur District,5,0.13642807711410268,0.14063847666819548,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169c,Khanewal District,5,0.12384807689927582,0.13500216151085803,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169d,Khushab District,5,0.12339885854441418,0.1426796066659333,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169e,Lahore District,5,0.13174769540120387,0.1499205049065884,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169f,Layyah District,5,0.05624939505560547,0.09085041983275176,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a0,Lodhran District,5,0.12108051374727091,0.13159618150415214,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a1,Mandi Bahauddin District,5,0.1527298045855582,0.162812410638763,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a2,Mianwali District,5,0.12979161810881343,0.16781041327432059,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a3,Multan District,5,0.12173200658759618,0.13205042798287747,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
